iter	Passed	Remaining
0	73	43861
1	152	45638
2	235	47008
3	313	46760
4	392	46795
5	473	46921
6	559	47440
7	635	47079
8	718	47248
9	798	47182
10	877	47082
11	965	47395
12	1042	47133
13	1129	47349
14	1211	47335
15	1293	47296
16	1375	47250
17	1457	47220
18	1541	47205
19	1621	47098
20	1706	47125
21	1791	47156
22	1881	47275
23	1961	47152
24	2038	46965
25	2115	46783
26	2194	46653
27	2279	46638
28	2366	46670
29	2450	46641
30	2531	46554
31	2617	46535
32	2722	46855
33	2834	47264
34	2974	48100
35	3073	48237
36	3166	48273
37	3250	48153
38	3335	48059
39	3420	47966
40	3500	47808
41	3582	47686
42	3663	47543
43	3744	47407
44	3827	47291
45	3918	47271
46	3996	47101
47	4076	46962
48	4159	46856
49	4238	46710
50	4325	46643
51	4404	46505
52	4492	46452
53	4580	46398
54	4664	46302
55	4750	46232
56	4834	46135
57	4916	46032
58	4998	45921
59	5076	45770
60	5153	45622
61	5236	45526
62	5327	45491
63	5409	45392
64	5493	45301
65	5580	45234
66	5668	45181
67	5749	45062
68	5834	44988
69	5914	44867
70	5997	44769
71	6078	44658
72	6163	44581
73	6248	44496
74	6329	44390
75	6410	44284
76	6494	44197
77	6578	44107
78	6663	44032
79	6750	43962
80	6832	43860
81	6911	43743
82	6995	43656
83	7080	43578
84	7162	43483
85	7248	43406
86	7334	43330
87	7421	43263
88	7502	43162
89	7588	43088
90	7674	43008
91	7754	42901
92	7838	42815
93	7918	42707
94	8003	42629
95	8085	42530
96	8171	42459
97	8257	42384
98	8335	42269
99	8424	42205
100	8504	42101
101	8587	42011
102	8669	41915
103	8749	41813
104	8832	41723
105	8911	41617
106	8996	41535
107	9080	41449
108	9158	41339
109	9239	41240
110	9320	41146
111	9400	41042
112	9480	40942
113	9557	40829
114	9640	40741
115	9719	40637
116	9799	40539
117	9880	40441
118	9963	40358
119	10040	40244
120	10127	40175
121	10219	40125
122	10301	40033
123	10382	39940
124	10465	39852
125	10541	39739
126	10624	39651
127	10701	39543
128	10780	39445
129	10866	39370
130	10965	39342
131	11053	39274
132	11138	39193
133	11213	39078
134	11291	38976
135	11368	38869
136	11450	38781
137	11530	38687
138	11610	38589
139	11691	38497
140	11769	38397
141	11853	38315
142	11935	38226
143	12020	38146
144	12097	38045
145	12179	37955
146	12263	37873
147	12348	37797
148	12426	37696
149	12507	37606
150	12590	37521
151	12672	37433
152	12752	37339
153	12830	37243
154	12919	37175
155	13002	37090
156	13083	37001
157	13162	36903
158	13237	36798
159	13314	36697
160	13396	36612
161	13478	36525
162	13559	36434
163	13639	36345
164	13722	36260
165	13808	36183
166	13895	36112
167	13981	36034
168	14060	35941
169	14146	35866
170	14229	35782
171	14315	35706
172	14392	35606
173	14478	35531
174	14560	35443
175	14640	35354
176	14729	35283
177	14817	35212
178	14895	35116
179	14977	35031
180	15058	34942
181	15142	34861
182	15217	34759
183	15307	34691
184	15396	34620
185	15474	34526
186	15556	34440
187	15644	34368
188	15724	34278
189	15802	34182
190	15888	34106
191	15973	34027
192	16056	33943
193	16135	33850
194	16219	33769
195	16311	33705
196	16398	33628
197	16475	33533
198	16566	33466
199	16656	33397
200	16739	33311
201	16818	33220
202	16901	33136
203	16988	33060
204	17071	32976
205	17151	32887
206	17233	32801
207	17311	32709
208	17393	32622
209	17475	32537
