iter	Passed	Remaining
210	17554	32447
211	17635	32359
212	17711	32263
213	17791	32173
214	17877	32095
215	17962	32016
216	18038	31919
217	18117	31829
218	18199	31745
219	18274	31648
220	18359	31568
221	18439	31479
222	18527	31405
223	18610	31321
224	18685	31225
225	18769	31143
226	18848	31054
227	18926	30962
228	19007	30877
229	19088	30789
230	19168	30702
231	19248	30615
232	19327	30525
233	19414	30448
234	19487	30351
235	19572	30270
236	19650	30180
237	19731	30094
238	19810	30006
239	19890	29918
240	19968	29827
241	20052	29747
242	20137	29667
243	20213	29575
244	20292	29485
245	20372	29399
246	20448	29306
247	20526	29216
248	20604	29127
249	20685	29042
250	20764	28954
251	20843	28866
252	20926	28784
253	21016	28712
254	21098	28627
255	21176	28538
256	21255	28451
257	21332	28360
258	21415	28278
259	21499	28196
260	21575	28105
261	21654	28018
262	21733	27931
263	21813	27845
264	21895	27762
265	21974	27674
266	22047	27580
267	22133	27501
268	22215	27418
269	22302	27341
270	22380	27253
271	22460	27167
272	22537	27077
273	22617	26992
274	22694	26903
275	22779	26823
276	22858	26737
277	22939	26652
278	23016	26563
279	23096	26477
280	23178	26395
281	23260	26312
282	23343	26230
283	23418	26139
284	23493	26049
285	23571	25961
286	23652	25877
287	23734	25794
288	23816	25711
289	23891	25621
290	23968	25533
291	24046	25446
292	24124	25359
293	24208	25279
294	24288	25193
295	24368	25108
296	24443	25020
297	24534	24946
298	24619	24866
299	24706	24788
300	24782	24700
301	24867	24620
302	24948	24536
303	25029	24452
304	25114	24373
305	25189	24283
306	25268	24198
307	25356	24121
308	25442	24042
309	25528	23963
310	25613	23883
311	25696	23802
312	25778	23719
313	25854	23631
314	25937	23550
315	26024	23471
316	26109	23391
317	26184	23302
318	26268	23221
319	26350	23139
320	26434	23057
321	26512	22971
322	26594	22888
323	26673	22804
324	26754	22720
325	26830	22633
326	26910	22548
327	26991	22465
328	27075	22384
329	27158	22303
330	27241	22221
331	27320	22135
332	27396	22048
333	27474	21963
334	27556	21880
335	27640	21799
336	27716	21712
337	27797	21629
338	27875	21543
339	27952	21457
340	28035	21376
341	28119	21295
342	28197	21209
343	28282	21129
344	28355	21040
345	28434	20956
346	28520	20877
347	28600	20793
348	28684	20712
349	28760	20625
350	28838	20540
351	28918	20456
352	28998	20372
353	29082	20292
354	29158	20205
355	29242	20124
356	29322	20041
357	29406	19960
358	29489	19878
359	29573	19797
360	29656	19716
361	29745	19638
362	29827	19556
363	29910	19474
364	29991	19391
365	30075	19310
366	30154	19226
367	30234	19143
368	30317	19061
369	30399	18978
370	30476	18893
371	30565	18815
372	30645	18732
373	30724	18648
374	30813	18570
375	30893	18486
376	30975	18404
377	31060	18323
378	31136	18238
379	31222	18158
380	31303	18075
381	31383	17992
382	31462	17908
383	31539	17822
384	31618	17739
385	31704	17659
386	31784	17575
387	31859	17489
388	31934	17404
389	32012	17319
390	32089	17234
391	32162	17148
392	32241	17064
393	32328	16984
394	32409	16902
395	32492	16820
396	32575	16738
397	32653	16654
398	32729	16570
399	32809	16486
400	32883	16400
401	32958	16315
402	33042	16234
403	33122	16151
404	33202	16068
405	33279	15983
406	33361	15901
407	33449	15823
408	33530	15740
409	33610	15657
410	33692	15575
411	33774	15493
412	33854	15410
413	33935	15328
414	34014	15245
415	34099	15164
416	34179	15081
417	34258	14998
418	34345	14918
419	34427	14836
420	34503	14752
421	34581	14668
422	34662	14586
423	34744	14504
424	34823	14421
425	34907	14339
426	34988	14257
427	35064	14173
428	35139	14088
429	35227	14009
430	35303	13924
431	35388	13844
432	35469	13761
433	35550	13679
434	35632	13597
435	35713	13515
436	35794	13433
437	35867	13347
438	35945	13264
439	36027	13182
440	36105	13099
441	36183	13016
442	36270	12936
443	36351	12853
444	36427	12770
445	36510	12688
446	36585	12604
447	36666	12522
448	36745	12439
449	36826	12357
450	36902	12273
451	36989	12193
452	37067	12110
453	37157	12031
454	37235	11948
455	37312	11864
456	37394	11783
457	37469	11699
458	37549	11616
459	37626	11533
460	37707	11451
461	37789	11369
462	37873	11288
463	37954	11206
464	38032	11123
465	38107	11039
466	38187	10957
467	38264	10874
468	38338	10790
469	38428	10710
470	38503	10627
471	38582	10544
472	38662	10462
473	38749	10382
474	38826	10299
475	38908	10217
476	38989	10135
477	39074	10054
478	39147	9970
479	39236	9890
480	39320	9809
481	39395	9726
482	39473	9643
483	39551	9561
484	39640	9481
485	39720	9398
486	39798	9316
487	39874	9233
488	39947	9149
489	40029	9067
490	40108	8985
491	40190	8903
492	40270	8822
493	40352	8740
494	40434	8658
495	40520	8577
496	40599	8495
497	40677	8413
498	40758	8331
499	40839	8249
500	40919	8167
501	40998	8085
502	41077	8003
503	41158	7921
504	41241	7839
505	41324	7758
506	41404	7676
507	41485	7594
508	41565	7512
509	41648	7431
510	41728	7349
511	41805	7266
512	41884	7184
513	41959	7102
514	42035	7019
515	42115	6937
516	42195	6855
517	42286	6775
518	42363	6693
519	42445	6611
520	42523	6529
521	42598	6446
522	42677	6364
523	42758	6283
524	42833	6200
525	42913	6118
526	42988	6036
527	43068	5954
528	43153	5873
529	43233	5791
530	43315	5710
531	43399	5628
532	43480	5547
533	43554	5464
534	43632	5382
535	43709	5300
536	43790	5218
537	43864	5136
538	43944	5054
539	44031	4973
540	44112	4892
541	44192	4810
542	44267	4728
543	44350	4647
544	44427	4565
545	44505	4483
546	44590	4401
547	44671	4320
548	44750	4238
549	44824	4156
550	44907	4075
551	44986	3993
552	45068	3911
553	45154	3830
554	45235	3749
555	45316	3667
556	45395	3586
557	45470	3503
558	45547	3422
559	45627	3340
560	45710	3259
561	45793	3177
562	45878	3096
563	45962	3015
564	46043	2933
565	46118	2851
566	46210	2770
567	46290	2689
568	46375	2608
569	46451	2526
570	46527	2444
571	46610	2363
572	46687	2281
573	46760	2199
574	46843	2118
575	46925	2036
576	47007	1955
577	47088	1873
578	47171	1792
579	47251	1710
580	47331	1629
581	47416	1547
582	47492	1466
583	47579	1385
584	47665	1303
585	47745	1222
586	47823	1140
587	47901	1059
588	47973	977
589	48052	895
590	48130	814
591	48204	732
592	48292	651
593	48372	570
594	48460	488
595	48542	407
596	48622	325
597	48701	244
598	48777	162
599	48855	81
600	48940	0
