iter	Huber:delta=1.5
177	0.8024456155
178	0.8016122256
179	0.800673288
180	0.7998114098
181	0.7989793099
182	0.7980242633
183	0.7971132125
184	0.7961609788
185	0.7953362188
186	0.7945206627
187	0.7936865465
188	0.7927120795
189	0.7919725683
190	0.7909792071
191	0.7900657815
192	0.7892913253
193	0.7883857056
194	0.7874632343
195	0.7867724307
196	0.7861805941
197	0.7853107864
198	0.7845606389
199	0.7838358186
200	0.7830612602
201	0.7824054704
202	0.7816033821
203	0.7810457059
204	0.7803808126
205	0.7796939078
206	0.7789311038
207	0.7780990479
208	0.7773077053
209	0.776653814
210	0.7760333563
211	0.7752529525
212	0.7745487409
213	0.7738839947
214	0.773084572
215	0.7723773905
216	0.7715644598
217	0.7708278858
218	0.7702604743
219	0.7695684592
220	0.7689513263
221	0.7682745904
222	0.7674329069
223	0.7665693828
224	0.7658400267
225	0.7652879631
226	0.7645864291
227	0.764065384
228	0.7633855274
229	0.7627593798
230	0.7621389927
231	0.7614275982
232	0.7608829364
233	0.7600208721
234	0.7593740304
235	0.7588242325
236	0.7581747465
237	0.7574919251
238	0.7570489974
239	0.7563657361
240	0.7557486941
241	0.7551444565
242	0.7545113864
243	0.7536965329
244	0.7530867127
245	0.7524507277
246	0.7518719015
247	0.7512933337
248	0.7507804663
249	0.750170834
250	0.7496480122
251	0.7489979362
252	0.748329283
253	0.7477163642
254	0.7472718997
255	0.746808223
256	0.7460445357
257	0.7453743916
258	0.7447868632
259	0.7442373789
260	0.7437744056
261	0.7431822585
262	0.7424714293
263	0.7418667223
264	0.7414401338
265	0.7409936771
266	0.7407002575
267	0.7403206823
268	0.7397375229
269	0.7393878883
270	0.7389782589
271	0.7383251993
272	0.7378962563
273	0.7374351393
274	0.7368790249
275	0.7365080489
276	0.735906495
277	0.7354786485
278	0.7351377932
279	0.7346517367
280	0.734197136
281	0.7337150886
282	0.7331941233
283	0.7327089648
284	0.7321640133
285	0.7317347843
286	0.7312917647
287	0.7307883907
288	0.730395172
289	0.7299521682
290	0.7295484285
291	0.7290431948
292	0.7285288129
293	0.7281579575
294	0.7277480586
295	0.7272726809
296	0.7268366323
297	0.7265498645
298	0.7261457283
299	0.7255215087
300	0.7250118609
301	0.7245979189
302	0.7240143049
303	0.7236624788
304	0.7231938036
305	0.7228434665
306	0.7221519859
307	0.7218166427
308	0.7214533077
309	0.7211371909
310	0.7206586724
311	0.7203038175
312	0.7197411509
313	0.7193395221
314	0.7189438793
315	0.71826945
316	0.7178955262
317	0.7175025128
318	0.7171633566
319	0.7166212054
320	0.7162164221
321	0.7159235313
322	0.7155565379
323	0.7152165727
324	0.7146142162
325	0.7142326606
326	0.7138219155
327	0.7135007155
328	0.7132675994
329	0.7129193941
330	0.7124204054
331	0.7120384612
332	0.7115755931
333	0.7110345563
334	0.7105085176
335	0.7100922424
336	0.7095438783
337	0.7090535034
338	0.7087419717
339	0.7080899361
340	0.7076645643
341	0.7072799062
342	0.7068538689
343	0.7063926432
344	0.7060709975
345	0.7057343777
346	0.7053071038
347	0.7050110175
348	0.7046567329
349	0.7043428011
350	0.7038147038
351	0.7032973938
352	0.7029372808
353	0.7026291914
354	0.7022636797
355	0.7019494364
356	0.7015675509
357	0.7011486807
358	0.7008002077
359	0.700544215
360	0.7002186909
361	0.699974431
362	0.69970007
363	0.6992729933
364	0.6988028721
365	0.6984687156
366	0.6982102288
367	0.6978594188
368	0.6974200763
369	0.6971662326
370	0.6968640084
371	0.6965911927
372	0.6963333542
373	0.6958285906
374	0.6952631668
375	0.6949085694
376	0.6946064486
377	0.6940940566
378	0.6937437355
379	0.6934538102
380	0.6931223167
381	0.6927537884
382	0.6923621021
383	0.6920829447
384	0.6916687645
385	0.6913708486
386	0.6910167131
387	0.6907691409
388	0.6904795146
389	0.6899371997
390	0.6897453675
391	0.6894936983
392	0.6891331972
393	0.6886234433
394	0.68829255
395	0.6879633669
396	0.6876833022
397	0.687459334
398	0.6872242044
399	0.686918356
400	0.6866173118
401	0.6860441328
402	0.6858531961
403	0.685661954
404	0.6853470778
405	0.6851177001
406	0.6847982096
407	0.6845383205
408	0.6841697122
409	0.6838021822
410	0.6835526128
411	0.6831552793
412	0.6828426548
413	0.6825601857
414	0.682332021
415	0.6819134728
416	0.6816303545
417	0.6812457885
418	0.6809332115
419	0.6806810989
420	0.6805021593
421	0.6801599011
422	0.6798203537
423	0.6793635575
424	0.679154928
425	0.6789744497
426	0.6786830607
427	0.6782639843
428	0.6778636928
429	0.6774976605
430	0.677315112
431	0.6770374032
432	0.6767575267
433	0.676507948
434	0.6762650365
435	0.6761086079
436	0.6758949702
437	0.6757134615
438	0.6753880373
439	0.6750452895
440	0.6745831127
441	0.6742939368
442	0.6739963246
443	0.6737766328
444	0.6735826746
445	0.6733840406
446	0.6732424883
447	0.6728241143
448	0.6725678982
449	0.6720294424
450	0.6718135031
451	0.6715899948
452	0.6711851087
453	0.6709661532
454	0.6704829415
455	0.6701678955
456	0.6697398833
457	0.669377003
458	0.6690976847
459	0.6688550474
460	0.6684891904
461	0.6683548112
462	0.6679986317
463	0.667759502
464	0.667424195
465	0.667067368
466	0.6667428118
467	0.6665014717
468	0.6662201898
469	0.6658799498
470	0.6656497082
471	0.6653725443
472	0.6650942146
473	0.6647816942
474	0.6642968697
475	0.6639406631
476	0.6636756039
477	0.663279999
478	0.6629496756
479	0.6626923948
480	0.6624374234
481	0.6622137817
482	0.6618530808
483	0.6615180248
484	0.6612965924
485	0.6610981745
486	0.6607975721
487	0.6605246382
488	0.6603643061
489	0.6600894269
490	0.65982763
491	0.6594702014
492	0.6592363786
493	0.658978991
494	0.6588367893
495	0.6585217348
496	0.6583911695
497	0.6581472535
498	0.657917272
499	0.6575641085
500	0.657294149
501	0.657063236
502	0.6568985775
503	0.656569259
504	0.6563396308
505	0.656136527
506	0.6559073161
507	0.6557204338
508	0.6553886128
509	0.6551462962
510	0.6549017468
511	0.6547108019
512	0.6544739919
513	0.6543197428
514	0.6541716632
515	0.6539603146
516	0.6537551986
517	0.6533088156
518	0.6531377892
519	0.6528686361
520	0.6526667557
521	0.6525839259
522	0.6523686325
523	0.6519785105
524	0.6515358008
525	0.6513973262
526	0.6511652145
527	0.6509620103
528	0.650793614
529	0.6505365858
530	0.6503100782
531	0.6500188746
532	0.6497573629
533	0.6495565903
534	0.6494218736
535	0.6492052551
536	0.6487888049
537	0.6486439639
538	0.6483838899
539	0.6482507561
540	0.6480585341
541	0.6478599968
542	0.6476879011
543	0.6475376964
544	0.647250008
545	0.6470174505
546	0.6468828757
547	0.6466690033
548	0.6463113309
549	0.6461564026
550	0.6459929903
551	0.6458228748
552	0.6456871784
553	0.6454826625
554	0.6452868247
555	0.6451505226
556	0.6449295415
557	0.6446404696
558	0.6443470585
559	0.6440855197
560	0.6439137323
561	0.6437690873
562	0.6436002499
563	0.643368564
564	0.6431236937
565	0.6429797677
566	0.6425783634
567	0.6423487472
568	0.6421762781
569	0.6418969133
570	0.6416457592
571	0.6414722285
572	0.6411495759
573	0.6409829733
574	0.6408085458
575	0.6406828364
576	0.6405635241
577	0.6402807489
578	0.6400041671
579	0.6397776649
580	0.6395651543
581	0.6393646135
582	0.6391082861
583	0.6389558094
584	0.6388304155
585	0.6387253057
586	0.638480373
587	0.6382176993
588	0.6380114721
589	0.6377983549
590	0.6376803448
591	0.6374879545
592	0.6371195561
593	0.6368052011
594	0.6365998275
595	0.6364518172
596	0.6363237272
597	0.6361171908
598	0.6358540468
599	0.6354705527
600	0.6353771047
601	0.6351401121
602	0.6349658707
603	0.6348100785
604	0.6346680902
605	0.6345023212
606	0.6343486663
607	0.6341060259
608	0.6339917706
609	0.6338506852
610	0.6335359988
611	0.6333232041
612	0.6330085339
613	0.6327503939
614	0.6325586259
615	0.6324083491
616	0.6322592148
617	0.632126901
618	0.6318166191
619	0.6315405527
